267	槐荫	124	2500
268	槐荫	85	2800
269	高新	90	2700
270	历城	37	1500
271	历城	21	500
272	高新	30	800
273	市中	75	2700
274	历下	85	3000
275	市中	108	2200
276	市中	93	2900
277	槐荫	80	1600
278	高新	300	11999
279	槐荫	150	380
280	高新	15	600
281	高新	35	1100
282	槐荫	90	1800
283	市中	131	3700
284	天桥	60	1300
285	历下	50	2100
286	槐荫	88	2200
287	历下	18	400
288	槐荫	70	1200
289	天桥	22	700
290	历城	92	1600
291	天桥	85	1900
292	历城	19	900
293	槐荫	95	2000
294	天桥	60	1500
295	槐荫	130	3300
296	历城	19	900
297	历下	10	650
298	高新	90	2700
299	历城	37	1500
300	历城	21	500
301	高新	30	800
302	历下	85	3000
303	市中	108	2200
304	历城	80	2200
305	市中	93	2900
306	历城	130	3200
307	高新	20	560
308	槐荫	80	1600
309	高新	300	11999
310	槐荫	150	380
311	历下	80	2300
312	高新	15	600
313	高新	35	1100
314	槐荫	90	1800
315	市中	131	3700
316	天桥	60	1300
317	历下	50	2100
318	高新	19	490
319	槐荫	105	2000
320	槐荫	88	2200
321	历下	18	400
322	槐荫	70	1200
323	天桥	22	700
324	市中	140	2900
325	历下	84	2800
326	天桥	16	550
327	市中	85	1300
328	历城	92	1800
329	槐荫	93	1700
330	章丘	131	1600
331	市中	110	102000
332	历下	80	2600
333	槐荫	80	800
334	槐荫	110	3500
335		117	2800
336	槐荫	80	1800
337	槐荫	92	1700
338	槐荫	88	2700
339	历下	75	3000
340	市中	60	1600
341	槐荫	72	2800
342	历下	38	1550
343	历下	42	1550
344	槐荫	100	2500
345	市中	140	3300
346	历下	45	1800
347	天桥	50	1200
348	高新	48	1700
349	历城	22	500
350	历城	32	330
351	历城	120	2800
352	历城	18	700
353	天桥	60	1300
354	历下	50	2100
355	高新	19	490
356	槐荫	105	2000
357	槐荫	88	2200
358	历下	18	400
359	市中	91	2600
360	历城	99	2300
361	槐荫	70	1200
362	天桥	22	700
363	天桥	16	550
364	市中	85	1300
365	历城	92	1800
366	槐荫	93	1700
367	历城	41	1600
368	历下	120	3200
369	章丘	131	1600
370	市中	110	102000
371	槐荫	80	800
372	槐荫	110	3500
373	历下	15	300
374		117	2800
375	历城	110	2000
376	历下	75	2000
377	市中	66	2500
378	槐荫	80	1800
379	槐荫	92	1700
380	槐荫	88	2700
381	槐荫	72	2800
382	历下	38	1550
383	历下	42	1550
384	槐荫	100	2500
385	市中	64	2500
386	高新	36	1200
387	历城	119	3299
388	高新	19	400
389	高新	15	300
390	槐荫	135	2800
391	天桥	110	1500
392	高新	110	2000
393	槐荫	84	1800
394	槐荫	94	1500
395	槐荫	141	5000
396	槐荫	136	2000
397	天桥	65	1460
398	高新	18	660
399	高新	20	500
400	天桥	60	1200
401	天桥	23	1000
402	槐荫	76	2100
403	历城	90	1700
404	高新	140	3000
405	高新	95	2600
406	槐荫	30	500
407	市中	100	3000
408	槐荫	94	1500
409	槐荫	141	5000
410	槐荫	136	2000
411	天桥	65	1460
